"OPEN 6.1.3"
"Wed May 30 2012 14:18:41"
<open><version>"6.1.3"</version></open>
<open><configfile>"/User/Configs/UserPrefs/LED2x3RedBlueLight.xml"</configfile></open>
<open><light><source>"6400-02 or -02B LED Source"</source><par_in>1 <sensor>"SI-1639"<cal>-0.77<actinity>1.00</actinity><transm>1.00</transm></cal></sensor><transm>1 </transm></par_in><par_out>1 <sensor>"Q33436"<cal>6.31 </cal></sensor></par_out></light></open>
<open><comps><file>"/User/Configs/Comps/StdComps_6.1"<header>""</header><extras></extras></file><energybal>no<f_parIn>1 </f_parIn><f_parOut>0 </f_parOut><alphaK>0.16</alphaK></energybal><bc_total>2.840<stomatal_ratio>1</stomatal_ratio><bc_oneside>1.420<type>2 </type><table>"/Sys/Lib/StdBLCTable"</table><area>6</area><slope>-0.219565 </slope><offset>2.73739 </offset><fan>5 </fan></bc_oneside></bc_total></comps></open>
<open><prompts><onlog>off</onlog><items>"Default (none)"</items></prompts></open>
<open><constants><oxygen>21 %</oxygen><bb_vapor>1.5 </bb_vapor><bb_oxy>0.9 </bb_oxy></constants></open>
<open><stability><items>"Std Stability"<items[1]><id>-2 </id><size>15 </size><pcv><onoff>0 </onoff><value>1 </value></pcv><std><onoff>0 </onoff><value>1 </value></std><slp><onoff>1 </onoff><value>1 </value></slp></items[1]><items[2]><id>-5 </id><size>15 </size><pcv><onoff>0 </onoff><value>1 </value></pcv><std><onoff>0 </onoff><value>1 </value></std><slp><onoff>1 </onoff><value>1 </value></slp></items[2]><items[3]><id>-7 </id><size>15 </size><pcv><onoff>0 </onoff><value>1 </value></pcv><std><onoff>0 </onoff><value>1 </value></std><slp><onoff>1 </onoff><value>1 </value></slp></items[3]></items></stability></open>
<open><log><format>"StdLogFmt_6.0"<items>{ -35  -21  -36  -76  30  23  36  21  25  221  -33  111  -34  11  -9  -10  -8  -1  -2  -4  -5  -14  -15  -7  -12  -13  -11  -65  -66  -72  -18  -19  -77  -78  -79  -23   }<hdr>{  }</hdr></items></format><options><beep>on</beep><hdr>normal</hdr><rem>normal</rem><stab>no</stab><stats>no<period>15 </period></stats><excel>yes</excel><comm>no</comm></options><datafile>"/User/Soybean Flame 5"</datafile><button><action>"Normal Log"<code>" LogOneObsManual "</code></action></button><autoprog>"/User/Configs/AutoProgs/AutoLog"<active>no</active></autoprog></log></open>
<open><a2d><avgtime>4.0 secs</avgtime><userchans><ch20>"Off"</ch20><ch21>"Off"</ch21><ch22>"Off"</ch22><ch23>"Off"</ch23></userchans></a2d></open>
<open><matching><type>0 </type><disp>'a'</disp><settings><CO2Limit>10.0</CO2Limit><H2OLimit>1.0</H2OLimit><MaxAutoTime>60 </MaxAutoTime></settings></matching></open>
<li6400><factory><unit>"PSC-1531"</unit><serviced>"17 Mar 2008"</serviced><fuseaware>0 </fuseaware><co2mixer>yes</co2mixer><co2><coeffs>{ 0  0.212961  2.18957e-05  2.03557e-08  -3.27905e-12  2.96532e-16   }</coeffs><dvdt>-2.8 </dvdt></co2><h2o><coeffs>{ 0  0.00570481  2.37696e-06  -9.64073e-12   }</coeffs><dvdt>-3.4 </dvdt></h2o><flow>{ 0  0.3709   }</flow><press>{ 89.632  0.00549   }</press></factory></li6400>
<li6400><user><flow_zero>361.2</flow_zero><irga_zero><co2>166.1 -536.2<at>20.1707 </at></co2><h2o>-68.0 -29.0<at>19.9597 </at></h2o></irga_zero><irga_span><co2>{ 1.015  1.011   }</co2><h2o>{ 0.983  1.007   }</h2o></irga_span><irga_match><co2>{ -0.216251  3.10265   }</co2><h2o>{ -0.0165113  0.0262227   }</h2o></irga_match><co2_mixer><pump_mv>4500 </pump_mv><ppm>{ 2602.61  1196.44  462.85  281.056  133.986  83.6553  59.7096  49.6288   }</ppm><mv>{ 5000  3000  1500  1000  500  300  200  100   }</mv></co2_mixer><parin_offset>-0.271479 </parin_offset><led_cal><unit>"unknown"</unit><mv>{ 50  100  1000  3000  5000   }</mv><qntm>{ 3  45  555  1500  2500   }</qntm></led_cal><lcf_cal><unit>"LCF-1272"</unit><red><mv>{ 50  100  200  400  800  1500   }</mv><qntm>{ 71.4426  158.085  336.061  704.114  1454.21  2759.68   }</qntm></red><blue><mv>{ 100  500  1000  2000  3000  4000  5000   }</mv><qntm>{ 6.26287  41.8594  74.626  136.115  189.855  236.274  278.599   }</qntm></blue></lcf_cal></user></li6400>
"14:19:04 20120530 P3"
$STARTOFDATA$
"Obs"	"HHMMSS"	"FTime"	"EBal?"	"Photo"	"Cond"	"Ci"	"Trmmol"	"VpdL"	"CTleaf"	"Area"	"BLC_1"	"StmRat"	"BLCond"	"Tair"	"Tleaf"	"TBlk"	"CO2R"	"CO2S"	"H2OR"	"H2OS"	"RH_R"	"RH_S"	"Flow"	"PARi"	"PARo"	"Press"	"CsMch"	"HsMch"	"StableF"	"BLCslope"	"BLCoffst"	"f_parin"	"f_parout"	"alphaK"	"Status"
1	"14:19:17"	49.5	0	15.6	0.0618	244	1.08	1.46	25.37	6	1.42	1	2.84	25.21	25.37	25.08	699.67	667.10	19.270	21.387	50.26	55.78	300.1	500	0	83.96	3.1	0.0262	0.3	-0.22	2.74	1.00	0.00	0.16	111115
2	"14:19:19"	52.0	0	15.6	0.0619	242	1.08	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.08	699.73	667.01	19.269	21.386	50.26	55.77	300.1	500	0	83.96	3.1	0.0262	1.0	-0.22	2.74	1.00	0.00	0.16	111115
"08:30:38 TESTING REMOVAL OF REMARKS"
"08:32:37 CO2 Mixer: CO2R -> 400 uml"
"08:40:20 Lamp: ParIn -> 500 uml"
"08:40:20 CO2 Mixer: CO2R -> 400 uml"
3	"14:19:21"	54.0	0	15.6	0.0621	244	1.09	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.07	699.72	667.05	19.269	21.393	50.25	55.79	300.1	500	0	83.96	3.1	0.0262	1.0	-0.22	2.74	1.00	0.00	0.16	111115
4	"14:19:24"	56.5	0	15.7	0.0622	243	1.09	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.07	699.67	666.92	19.270	21.396	50.26	55.80	300.1	500	0	83.96	3.1	0.0262	1.0	-0.22	2.74	1.00	0.00	0.16	111115
5	"14:19:26"	59.0	0	15.7	0.0622	242	1.09	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.07	699.73	666.87	19.275	21.400	50.27	55.82	300.1	500	0	83.96	3.1	0.0262	0.7	-0.22	2.74	1.00	0.00	0.16	111115
6	"14:19:29"	61.5	0	15.7	0.0622	243	1.09	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.07	699.71	666.87	19.277	21.402	50.28	55.82	300.1	500	0	83.95	3.1	0.0262	0.7	-0.22	2.74	1.00	0.00	0.16	111115
7	"14:19:31"	64.0	0	15.8	0.0621	240	1.08	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.07	699.67	666.67	19.277	21.400	50.28	55.82	300.1	500	0	83.96	3.1	0.0262	0.7	-0.22	2.74	1.00	0.00	0.16	111115
8	"14:19:34"	66.5	0	15.8	0.0623	241	1.09	1.45	25.36	6	1.42	1	2.84	25.21	25.36	25.07	699.73	666.73	19.281	21.408	50.29	55.84	300.1	500	0	83.96	3.1	0.0262	0.7	-0.22	2.74	1.00	0.00	0.16	111115
"08:40:20 Coolers: Off"
"08:40:20 Flow: Fixed -> 500 umol/s"
"08:42:11 Flow: Fixed -> 500 umol/s"
"08:43:13 c 4 a"
9	"14:19:36"	69.0	0	15.8	0.062	240	1.08	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.07	699.67	666.72	19.281	21.401	50.29	55.82	300.1	500	0	83.95	3.1	0.0262	0.7	-0.22	2.74	1.00	0.00	0.16	111115
10	"14:19:39"	71.5	0	15.8	0.0625	241	1.09	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.07	699.67	666.57	19.277	21.412	50.28	55.85	300.1	500	0	83.95	3.1	0.0262	0.7	-0.22	2.74	1.00	0.00	0.16	111115
11	"14:19:41"	74.0	0	15.8	0.0629	244	1.1	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.07	699.69	666.65	19.275	21.421	50.27	55.87	300.1	500	0	83.96	3.1	0.0262	1.0	-0.22	2.74	1.00	0.00	0.16	111115
12	"14:19:44"	76.5	0	15.8	0.0628	243	1.09	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.07	699.66	666.59	19.282	21.424	50.29	55.87	300.1	500	0	83.95	3.1	0.0262	1.0	-0.22	2.74	1.00	0.00	0.16	111115
13	"14:19:46"	79.0	0	15.8	0.063	244	1.1	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.07	699.65	666.58	19.282	21.430	50.29	55.89	300.1	500	0	83.96	3.1	0.0262	1.0	-0.22	2.74	1.00	0.00	0.16	111115
14	"14:19:49"	81.5	0	15.9	0.0632	244	1.1	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.07	699.75	666.52	19.281	21.435	50.28	55.90	300.1	500	0	83.95	3.1	0.0262	1.0	-0.22	2.74	1.00	0.00	0.16	111115
15	"14:19:51"	84.0	0	15.9	0.0629	242	1.1	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.07	699.80	666.54	19.286	21.433	50.30	55.89	300.1	500	0	83.95	3.1	0.0262	1.0	-0.22	2.74	1.00	0.00	0.16	111115
16	"14:19:54"	86.5	0	15.9	0.0631	242	1.1	1.45	25.37	6	1.42	1	2.84	25.21	25.37	25.07	699.86	666.52	19.283	21.434	50.29	55.90	300.1	500	0	83.95	3.1	0.0262	1.0	-0.22	2.74	1.00	0.00	0.16	111115
