"OPEN 6.1.4"
"Fri May 17 2019 13:57:08"
<open><version>"6.1.4"</version></open>
<open><configfile>"/User/Configs/UserPrefs/FactoryDefault_6.1.xml"</configfile></open>
<open><light><source>"Sun+Sky"</source><par_in>1 <sensor>"GA-2899"<cal>0.85<actinity>1.00</actinity><transm>1.00</transm></cal></sensor><transm>1 </transm></par_in><par_out>1 <sensor>"Q42981"<cal>7.66 </cal></sensor></par_out></light></open>
<open><comps><file>"/User/Configs/Comps/StdComps_6.1"<header>""</header><extras></extras></file><energybal>no<f_parIn>1 </f_parIn><f_parOut>0 </f_parOut><alphaK>0.19</alphaK></energybal><bc_total>2.840<stomatal_ratio>1</stomatal_ratio><bc_oneside>1.420<type>2 </type><table>"/Sys/Lib/StdBLCTable"</table><area>6</area><slope>-0.219565 </slope><offset>2.73739 </offset><fan>5 </fan></bc_oneside></bc_total></comps></open>
<open><prompts><onlog>off</onlog><items>"Default (none)"</items></prompts></open>
<open><constants><oxygen>21 %</oxygen><bb_vapor>1.5 </bb_vapor><bb_oxy>0.9 </bb_oxy></constants></open>
<open><stability><items>"Std Stability"<items[1]><id>-2 </id><size>15 </size><pcv><onoff>0 </onoff><value>1 </value></pcv><std><onoff>0 </onoff><value>1 </value></std><slp><onoff>1 </onoff><value>1 </value></slp></items[1]><items[2]><id>-5 </id><size>15 </size><pcv><onoff>0 </onoff><value>1 </value></pcv><std><onoff>0 </onoff><value>1 </value></std><slp><onoff>1 </onoff><value>1 </value></slp></items[2]><items[3]><id>-7 </id><size>15 </size><pcv><onoff>0 </onoff><value>1 </value></pcv><std><onoff>0 </onoff><value>1 </value></std><slp><onoff>1 </onoff><value>1 </value></slp></items[3]></items></stability></open>
<open><log><format>"StdLogFmt_6.0"<items>{ -35  -21  -36  -76  30  23  36  21  25  221  -33  111  -34  11  -9  -10  -8  -1  -2  -4  -5  -14  -15  -7  -12  -13  -11  -65  -66  -72  -18  -19  -77  -78  -79  -23   }<hdr>{  }</hdr></items></format><options><beep>on</beep><hdr>normal</hdr><rem>normal</rem><stab>no</stab><stats>no<period>15 </period></stats><excel>yes</excel><comm>no</comm></options><datafile>"/User/00-tdl-test"</datafile><button><action>"Normal Log"<code>" LogOneObsManual "</code></action></button><autoprog>"/User/Configs/AutoProgs/AutoLog"<active>no</active></autoprog></log></open>
<open><a2d><avgtime>4.0 secs</avgtime><userchans><ch20>"Off"</ch20><ch21>"Off"</ch21><ch22>"Off"</ch22><ch23>"Off"</ch23></userchans></a2d></open>
<open><matching><type>0 </type><disp>'a'</disp><settings><CO2Limit>10.0</CO2Limit><H2OLimit>1.0</H2OLimit><MaxAutoTime>60 </MaxAutoTime></settings></matching></open>
<li6400><factory><unit>"PSC-2899"</unit><serviced>"12 Jan 2015"</serviced><fuseaware>0 </fuseaware><co2mixer>yes</co2mixer><co2><coeffs>{ 0  0.224506  1.21988e-05  3.10389e-08  -6.58779e-12  6.42386e-16   }</coeffs><dvdt>-3.7 </dvdt><xs>{ -1e-04  -0.0006   }</xs></co2><h2o><coeffs>{ 0  0.00585345  2.23984e-06  -5.73775e-12   }</coeffs><dvdt>-1.9 </dvdt><xs>{ -0.0035  0.0007   }</xs></h2o><flow>{ 0  0.364   }</flow><press>{ 87.836  0.00553   }</press></factory></li6400>
<li6400><user><flow_zero>-1201.2</flow_zero><irga_zero><co2>2231.3 2036.3<at>16.3189 </at></co2><h2o>905.1 788.1<at>27.4505 </at></h2o></irga_zero><irga_span><co2>{ 0.989087  0.992267   }</co2><h2o>{ 0.995132  1.00243   }</h2o></irga_span><irga_match><co2>{ 0.82056  2.3548   }</co2><h2o>{ 0.0787986  -0.10072   }</h2o></irga_match><co2_mixer><pump_mv>4500 </pump_mv><ppm>{ 2297.84  1056.17  403.094  242.018  109.688  64.0047  42.4238  36.5856   }</ppm><mv>{ 5000  3000  1500  1000  500  300  200  100   }</mv></co2_mixer><parin_offset>0 </parin_offset><led_cal><unit>"SI-2893"</unit><mv>{ 10  25  50  100  1000  2000  3000  4000  5000   }</mv><qntm>{ 4.64046  17.4487  38.9642  88.2345  984.417  1922.31  2803.04  3647.03  4435.23   }</qntm></led_cal><lcf_cal><unit>"LCF-1272"</unit><red><mv>{ 50  100  200  400  800  1500   }</mv><qntm>{ 77.8088  165.928  344.088  714.767  1469.83  2776.36   }</qntm></red><blue><mv>{ 100  500  1000  2000  3000  4000  5000   }</mv><qntm>{ 9.87075  45.1756  77.8014  138.953  192.451  238.568  280.609   }</qntm></blue></lcf_cal></user></li6400>
"13:57:10 "
$STARTOFDATA$
"Obs"	"HHMMSS"	"FTime"	"EBal?"	"Photo"	"Cond"	"Ci"	"Trmmol"	"VpdL"	"CTleaf"	"Area"	"BLC_1"	"StmRat"	"BLCond"	"Tair"	"Tleaf"	"TBlk"	"CO2R"	"CO2S"	"H2OR"	"H2OS"	"RH_R"	"RH_S"	"Flow"	"PARi"	"PARo"	"Press"	"CsMch"	"HsMch"	"StableF"	"BLCslope"	"BLCoffst"	"f_parin"	"f_parout"	"alphaK"	"Status"
"13:02:51 Launched AutoProg /User/Configs/AutoProgs/AutoLog"
1	"13:03:05"	-3232.0	0	-0.937	0.000372	4.24E+03	0.0117	2.58	24.86	6	1.42	1	2.84	24.71	24.86	24.72	318.41	319.53	6.889	6.903	18.39	18.43	499.8	-0	0	83.44	2.35	-0.101	1.0	-0.22	2.74	1.00	0.00	0.19	111105
2	"13:03:16"	-3221.5	0	-0.0637	0.000202	795	0.00634	2.56	24.73	6	1.42	1	2.84	24.72	24.73	24.72	319.81	319.89	6.873	6.880	18.34	18.36	499.9	-0	0	83.44	2.35	-0.101	0.7	-0.22	2.74	1.00	0.00	0.19	111105
3	"13:03:26"	-3211.0	0	-2.14	0.00373	1.21E+03	0.117	2.57	24.74	6	1.42	1	2.84	24.72	24.74	24.73	321.24	323.77	6.596	6.736	17.60	17.97	499.9	-0	0	83.44	2.35	-0.101	0.7	-0.22	2.74	1.00	0.00	0.19	111105
4	"13:03:36"	-3201.0	0	0.607	0.00664	165	0.209	2.57	24.74	6	1.42	1	2.84	24.72	24.74	24.73	324.34	323.53	6.462	6.711	17.24	17.90	499.9	-0	0	83.44	2.35	-0.101	0.7	-0.22	2.74	1.00	0.00	0.19	111105
5	"13:03:47"	-3190.5	0	-1.89	-0.00317	-624	-0.1	2.57	24.74	6	1.42	1	2.84	24.73	24.74	24.73	320.77	323.08	6.779	6.660	18.08	17.76	499.8	-0	0	83.44	2.35	-0.101	1.0	-0.22	2.74	1.00	0.00	0.19	111105
6	"13:03:57"	-3180.0	0	-0.204	0.00242	439	0.0762	2.57	24.74	6	1.42	1	2.84	24.73	24.74	24.74	323.29	323.51	6.585	6.676	17.56	17.80	500.1	-0	0	83.44	2.35	-0.101	1.0	-0.22	2.74	1.00	0.00	0.19	111105
7	"13:04:08"	-3169.5	0	-0.713	0.00406	583	0.128	2.59	24.75	6	1.42	1	2.84	24.74	24.75	24.74	323.82	324.63	6.373	6.526	16.99	17.40	499.8	-0	0	83.44	2.35	-0.101	0.3	-0.22	2.74	1.00	0.00	0.19	111105
8	"13:04:18"	-3159.5	0	-1.54	0.00382	938	0.122	2.6	24.76	6	1.42	1	2.84	24.74	24.76	24.74	323.35	325.15	6.278	6.423	16.73	17.12	499.9	-0	0	83.44	2.35	-0.101	0.7	-0.22	2.74	1.00	0.00	0.19	111105
9	"13:04:28"	-3149.0	0	-2.41	-0.01	-65.6	-0.319	2.59	24.77	6	1.42	1	2.84	24.74	24.77	24.75	320.26	323.27	6.990	6.609	18.62	17.61	500.1	-0	0	83.44	2.35	-0.101	0.7	-0.22	2.74	1.00	0.00	0.19	111105
10	"13:04:39"	-3138.5	0	-2.46	-0.00855	-142	-0.27	2.57	24.78	6	1.42	1	2.84	24.75	24.78	24.75	318.89	321.95	7.124	6.803	18.98	18.12	499.9	-0	0	83.45	2.35	-0.101	0.3	-0.22	2.74	1.00	0.00	0.19	111105
11	"13:04:49"	-3128.5	0	-2.02	-0.00542	-275	-0.171	2.56	24.79	6	1.42	1	2.84	24.75	24.79	24.76	318.69	321.18	7.107	6.904	18.93	18.39	499.9	-0	0	83.45	2.35	-0.101	0.7	-0.22	2.74	1.00	0.00	0.19	111105
12	"13:04:59"	-3118.0	0	-1.43	-0.00443	-198	-0.139	2.55	24.77	6	1.42	1	2.84	24.76	24.77	24.76	318.89	320.65	7.145	6.979	19.02	18.58	500.0	-0	0	83.45	2.35	-0.101	0.7	-0.22	2.74	1.00	0.00	0.19	111105
13	"13:05:10"	-3107.5	0	-1.63	-0.00402	-329	-0.126	2.55	24.78	6	1.42	1	2.84	24.76	24.78	24.77	318.30	320.31	7.179	7.029	19.11	18.71	499.9	0	0	83.45	2.35	-0.101	0.7	-0.22	2.74	1.00	0.00	0.19	111105
14	"13:05:20"	-3097.5	0	-1.8	-0.00252	-806	-0.0789	2.55	24.77	6	1.42	1	2.84	24.77	24.77	24.77	317.76	319.95	7.130	7.036	18.97	18.72	499.9	-0	0	83.44	2.35	-0.101	0.7	-0.22	2.74	1.00	0.00	0.19	111105
15	"13:05:30"	-3087.0	0	-0.951	-0.00221	-369	-0.069	2.55	24.77	6	1.42	1	2.84	24.77	24.77	24.77	318.44	319.61	7.133	7.051	18.98	18.76	500.1	-0	0	83.44	2.35	-0.101	0.3	-0.22	2.74	1.00	0.00	0.19	111105
16	"13:05:41"	-3076.5	0	-1.51	-0.000913	-2.27E+03	-0.0286	2.55	24.78	6	1.42	1	2.84	24.78	24.78	24.78	317.98	319.80	7.044	7.010	18.74	18.64	499.9	-0	0	83.44	2.35	-0.101	0.3	-0.22	2.74	1.00	0.00	0.19	111105
17	"13:05:51"	-3066.5	0	-1.77	-0.00322	-552	-0.101	2.56	24.80	6	1.42	1	2.84	24.78	24.80	24.78	317.13	319.29	7.159	7.039	19.04	18.72	500.0	-0	0	83.45	2.35	-0.101	0.7	-0.22	2.74	1.00	0.00	0.19	111105
